No,内容,開始,終了,期間,備考
1,"起床",5:30,6:15,00:45,
2,"朝ごはん",6:15,7:00,00:45,
3,"テントを収納、レンタル者を返却",7:00,7:20,00:20,
4,"移動： 徳沢→明神",7:20,8:30,01:20,
5,"休憩",8:30,8:40,00:50,
6,"移動： 明神→明神橋",8:40,8:50,00:50,
7,"移動： 明神橋→明神池",8:50,9:00,00:10,
8,"移動： 明神池→河童橋",9:00,10:15,01:15,
9,休憩,10:15,10:30,01:15,
10,"移動： 河童橋→大正池",10:30,11:50,01:20,
11,"移動： 大正池→小梨平キャンプ場",11:15,13:00,02:45,
12,昼ごはん,13:00,14:20,01:40,
13,自由活動,14:20,15:40,01:20,
14,東京に帰るのを準備,15:40,16:10,00:50,
15,東京に帰る,16:10,22:00,05:50,渋滞がありましたので、1時間ぐらい延長されました。
16,新宿から自宅に帰る,22:00,23:00,01:10,